,aX,aY,aZ,gX,gY,gZ
108,-15.24,-21.12,2.84,-1.19,-14.73,90.31
109,-15.24,-21.12,2.84,-1.19,-14.73,90.31
110,-15.24,-21.12,2.84,-1.19,-14.73,90.31
111,14,-99.99,-42.53,-1.19,-14.73,90.31
112,14,-99.99,-42.53,-12.31,-18.57,47.57
113,14,-99.99,-42.53,-12.31,-18.57,47.57
114,14,-99.99,-42.53,-12.31,-18.57,47.57
115,16.52,-50.23,-26.93,-12.31,-18.57,47.57
116,16.52,-50.23,-26.93,-23.44,59.01,-70.14
117,16.52,-50.23,-26.93,-23.44,59.01,-70.14
118,16.52,-50.23,-26.93,-23.44,59.01,-70.14
119,3.52,-10.96,53,-23.44,59.01,-70.14
120,3.52,-10.96,53,12.99,80.18,34.91
121,3.52,-10.96,53,12.99,80.18,34.91
122,3.52,-10.96,53,12.99,80.18,34.91
123,-3.08,-10.96,53,12.99,80.18,34.91
124,-3.08,-44.6,54.62,2.6,-33.38,34.91
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,-42.86,-20.2,0,0,0,0
128,-42.86,-20.2,-4.19,0.99,0,0
129,-42.86,-20.2,-4.19,0.99,-5.82,-16.88
130,-42.86,-20.2,-4.19,0.99,-5.82,-16.88
131,-42.86,-20.2,-4.19,0.99,-5.82,-16.88
132,-41.3,-20.21,-1.62,0.99,-5.82,-16.88
133,-41.3,-20.21,-1.62,0.99,2.17,8.71
134,-41.3,-20.21,-1.62,0.99,2.17,8.71
135,-41.3,-20.21,-1.62,0.99,2.17,8.71
136,-24.87,-7.79,-6,-2.73,2.17,8.71
137,-24.87,-7.79,-6,-2.73,6.11,42.96
138,-24.87,-7.79,-6,-2.73,6.11,42.96
139,-24.87,-7.79,-6,-2.73,6.11,42.96
140,-20.58,-55.42,0.66,-2.73,6.11,42.96
141,-20.58,-55.42,0.66,24.46,-4.69,89.42
142,-20.58,-55.42,0.66,24.46,-4.69,89.42
143,-20.58,-55.42,0.66,24.46,-4.69,89.42
144,-17.14,-99.99,0.66,24.46,-4.69,89.42
145,-17.14,-99.99,-22.63,6.12,6.46,89.42
146,-17.14,-99.99,-22.63,6.12,6.46,29.11
147,-17.14,-99.99,-22.63,6.12,6.46,29.11
148,-17.14,-99.99,-22.63,6.12,6.46,29.11
149,4.36,-61.18,-24.38,-6.7,6.46,29.11
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,-34.82,-39.55,0,0,0,0
153,-34.82,-39.55,1.32,-6.56,0.2,0
154,-34.82,-39.55,1.32,-6.56,0.2,7.41
155,-34.82,-39.55,1.32,-6.56,0.2,7.41
156,-33.75,-39.55,1.32,-6.56,0.2,7.41
157,-33.75,-40.4,-1.07,2.77,0.2,7.41
158,-33.75,-40.4,-1.07,2.77,4.55,-5.53
159,-33.75,-40.4,-1.07,2.77,4.55,-5.53
160,-24.26,-40.4,-1.07,2.77,4.55,-5.53
161,-24.26,-14.24,-7.16,5.32,11.06,-5.53
162,-24.26,-14.24,-7.16,5.32,11.06,15.98
163,-24.26,-14.24,-7.16,5.32,11.06,15.98
164,-8.13,-14.24,-7.16,5.32,11.06,15.98
165,-8.13,10.35,7.46,7.93,11.06,15.98
166,-8.13,10.35,7.46,7.93,28.6,87.51
167,-8.13,10.35,7.46,7.93,28.6,87.51
168,-0.46,10.35,7.46,7.93,28.6,87.51
169,-0.46,-90.89,-5.03,7.93,28.6,87.51
170,-0.46,-90.89,-5.03,1.4,5.1,66.19
171,-0.46,-90.89,-5.03,1.4,5.1,66.19
172,-0.46,-90.89,-5.03,1.4,5.1,66.19
173,11.32,-99.99,-5.03,1.4,5.1,66.19
174,11.32,-99.99,-19,-13.68,24.1,66.19
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,-44.44,0,0,0,0,0
178,-44.44,-28.75,2.4,0,0,0
179,-44.44,-28.75,2.4,0.64,9.95,17.89
180,-44.44,-28.75,2.4,0.64,9.95,17.89
181,-44.68,-28.75,2.4,0.64,9.95,17.89
182,-44.68,-29.36,2.4,0.64,9.95,17.89
183,-44.68,-29.36,-2.84,14.54,3.35,-0.82
184,-44.68,-29.36,-2.84,14.54,3.35,-0.82
185,-44.68,-29.36,-2.84,14.54,3.35,-0.82
186,-34.54,-17.46,-2.84,14.54,3.35,-0.82
187,-34.54,-17.46,-8.11,7.86,5.32,2.9
188,-34.54,-17.46,-8.11,7.86,5.32,2.9
189,-34.54,-17.46,-8.11,7.86,5.32,2.9
190,-30.99,-16.69,-8.11,7.86,5.32,2.9
191,-30.99,-16.69,-7.59,-7.21,14.88,12.89
192,-30.99,-16.69,-7.59,-7.21,14.88,12.89
193,-30.99,-16.69,-7.59,-7.21,14.88,12.89
194,-6.45,-16.69,-7.59,-7.21,14.88,12.89
195,-6.45,-10.46,10.95,2.64,14.88,12.89
196,-6.45,-10.46,10.95,2.64,35.8,99.5
197,-6.45,-10.46,10.95,2.64,35.8,99.5
198,-3.59,-10.46,10.95,2.64,35.8,99.5
199,-3.59,-85.49,-2.73,2.64,35.8,99.5
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,-34.48,0,0,0,0,0
203,-34.48,-33.06,5.83,-0.5,7.18,0
204,-34.48,-33.06,5.83,-0.5,7.18,7.32
205,-34.48,-33.06,5.83,-0.5,7.18,7.32
206,-15.47,-33.06,5.83,-0.5,7.18,7.32
207,-15.47,-9.26,4.68,13.91,7.18,7.32
208,-15.47,-9.26,4.68,13.91,15.2,34.06
209,-15.47,-9.26,4.68,13.91,15.2,34.06
210,-15.47,-9.26,4.68,13.91,15.2,34.06
211,-21.3,-50.67,13.49,13.91,15.2,34.06
212,-21.3,-50.67,13.49,10.99,2.91,63.21
213,-21.3,-50.67,13.49,10.99,2.91,63.21
214,-21.3,-50.67,13.49,10.99,2.91,63.21
215,-3.96,-99.99,-18.76,10.99,2.91,63.21
216,-3.96,-99.99,-18.76,-26.93,36.08,-42.36
217,-3.96,-99.99,-18.76,-26.93,36.08,-42.36
218,-3.96,-99.99,-18.76,-26.93,36.08,-42.36
219,10.56,-99.99,-18.76,-26.93,36.08,-42.36
220,10.56,12.7,30.92,27.5,36.08,-42.36
221,10.56,12.7,30.92,27.5,76.61,-28.46
222,10.56,12.7,30.92,27.5,76.61,-28.46
223,-6.83,12.7,30.92,27.5,76.61,-28.46
224,-6.83,-6.02,77.26,27.5,76.61,-28.46
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,-36.94,-32.26,0,0,0,0
228,-36.94,-32.26,-3.73,2.27,2.98,0
229,-36.94,-32.26,-3.73,2.27,2.98,3
230,-36.94,-32.26,-3.73,2.27,2.98,3
231,-38.16,-32.26,-3.73,2.27,2.98,3
232,-38.16,-32.69,0.81,1.43,6.35,3
233,-38.16,-32.69,0.81,1.43,6.35,4.2
234,-38.16,-32.69,0.81,1.43,6.35,4.2
235,-9.73,-32.69,0.81,1.43,6.35,4.2
236,-9.73,6.79,3.51,-9.72,13.75,4.2
237,-9.73,6.79,3.51,-9.72,13.75,28.79
238,-9.73,6.79,3.51,-9.72,13.75,28.79
239,-13.53,6.79,3.51,-9.72,13.75,28.79
240,-13.53,-58.44,4.21,7.36,-2.28,28.79
241,-13.53,-58.44,4.21,7.36,-2.28,66.49
242,-13.53,-58.44,4.21,7.36,-2.28,66.49
243,-13.53,-58.44,4.21,7.36,-2.28,66.49
244,-4.25,-99.99,-28.95,7.36,-2.28,66.49
245,-4.25,-99.99,-28.95,-12.17,11.04,66.49
246,-4.25,-99.99,-28.95,-12.17,11.04,9.3
247,-4.25,-99.99,-28.95,-12.17,11.04,9.3
248,9.34,-99.99,-28.95,-12.17,11.04,9.3
249,9.34,-25.53,-11.74,-20.34,50.94,9.3
