,aX,aY,aZ,gX,gY,gZ
107,-22.1,21.11,0.25,14.31,5.71,5.84
108,-22.1,21.11,11.88,-22.1,15.94,38.71
109,-22.1,21.11,11.88,-22.1,15.94,38.71
110,-22.1,21.11,11.88,-22.1,15.94,38.71
111,0.65,-13.83,24.6,-13.75,15.94,38.71
112,0.65,-13.83,24.6,-13.75,-7.07,99.93
113,0.65,-13.83,24.6,-13.75,-7.07,99.93
114,0.65,-13.83,24.6,-13.75,-7.07,99.93
115,-2.47,-99.99,24.6,-13.75,-7.07,99.93
116,-2.47,-99.99,-9.83,-13.43,-17.34,99.93
117,-2.47,-99.99,-9.83,-13.43,-17.34,49.21
118,-2.47,-99.99,-9.83,-13.43,-17.34,49.21
119,-2.47,-99.99,-9.83,-13.43,-17.34,49.21
120,7.26,-99.99,-28.17,-13.43,-17.34,49.21
121,7.26,-99.99,-28.17,-10.41,41.71,-39.04
122,7.26,-99.99,-28.17,-10.41,41.71,-39.04
123,7.26,-99.99,-28.17,-10.41,41.71,-39.04
124,20.86,-32.61,-28.17,-10.41,41.71,-39.04
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,-41.86,0,0,0,0,0
128,-41.86,-19.51,2.2,1.7,0,0
129,-41.86,-19.51,2.2,1.7,7.31,1.66
130,-41.86,-19.51,2.2,1.7,7.31,1.66
131,-41.86,-19.51,2.2,1.7,7.31,1.66
132,-46.11,-26.1,-1.99,-0.64,7.31,1.66
133,-46.11,-26.1,-1.99,-0.64,12.89,-7.45
134,-46.11,-26.1,-1.99,-0.64,12.89,-7.45
135,-16.94,-26.1,-1.99,-0.64,12.89,-7.45
136,-16.94,37.07,18.43,-0.64,12.89,-7.45
137,-16.94,37.07,18.43,6.57,22.61,26.71
138,-16.94,37.07,18.43,6.57,22.61,26.71
139,4.35,37.07,18.43,6.57,22.61,26.71
140,4.35,-33.39,18.43,6.57,22.61,26.71
141,4.35,-33.39,26.1,-3.66,-10.49,99.98
142,4.35,-33.39,26.1,-3.66,-10.49,99.98
143,4.35,-33.39,26.1,-3.66,-10.49,99.98
144,-9.4,-99.99,26.1,-3.66,-10.49,99.98
145,-9.4,-99.99,-16.44,-12.28,-10,41.41
146,-9.4,-99.99,-16.44,-12.28,-10,41.41
147,-9.4,-99.99,-16.44,-12.28,-10,41.41
148,-6.08,-94.45,-16.44,-12.28,-10,41.41
149,-6.08,-94.45,-26.31,-10.66,46.01,-24.71
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,-46.13,0,0,0,0,0
153,-46.13,-22.64,0.97,-3.45,0,0
154,-46.13,-22.64,0.97,-3.45,4.13,-1.17
155,-46.13,-22.64,0.97,-3.45,4.13,-1.17
156,-42.74,-22.64,0.97,-3.45,4.13,-1.17
157,-42.74,-23,1.02,-4.13,4.13,-1.17
158,-42.74,-23,1.02,-4.13,12.66,-2.4
159,-42.74,-23,1.02,-4.13,12.66,-2.4
160,-21.71,-23,1.02,-4.13,12.66,-2.4
161,-21.71,37.86,20.14,13.21,12.66,-2.4
162,-21.71,37.86,20.14,13.21,22.62,35.64
163,-21.71,37.86,20.14,13.21,22.62,35.64
164,-3.34,37.86,20.14,13.21,22.62,35.64
165,-3.34,-43.13,27.19,-14.77,22.62,35.64
166,-3.34,-43.13,27.19,-14.77,-2.87,95.2
167,-3.34,-43.13,27.19,-14.77,-2.87,95.2
168,-3.34,-43.13,27.19,-14.77,-2.87,95.2
169,-7.46,-99.99,27.19,-14.77,-2.87,95.2
170,-7.46,-99.99,-15.16,-2.72,-8.57,95.2
171,-7.46,-99.99,-15.16,-2.72,-8.57,40.68
172,-7.46,-99.99,-15.16,-2.72,-8.57,40.68
173,0.27,-99.99,-15.16,-2.72,-8.57,40.68
174,0.27,-76.65,-14.93,-18.44,38.85,40.68
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,-47.23,-26.92,2.8,2.51,0,0
179,-47.23,-26.92,2.8,2.51,-3.99,-2.51
180,-47.23,-26.92,2.8,2.51,-3.99,-2.51
181,-47.23,-26.92,2.8,2.51,-3.99,-2.51
182,-46.33,-26.65,2.8,2.51,-3.99,-2.51
183,-46.33,-26.65,3.96,4.86,0.51,-2.51
184,-46.33,-26.65,3.96,4.86,0.51,-4.41
185,-46.33,-26.65,3.96,4.86,0.51,-4.41
186,-44.91,-25.97,3.96,4.86,0.51,-4.41
187,-44.91,-25.97,-1.43,4.54,2.15,-4.41
188,-44.91,-25.97,-1.43,4.54,2.15,-13.75
189,-44.91,-25.97,-1.43,4.54,2.15,-13.75
190,-31.94,-1.85,-1.43,4.54,2.15,-13.75
191,-31.94,-1.85,-0.48,-7.23,24.58,-13.75
192,-31.94,-1.85,-0.48,-7.23,24.58,-5.2
193,-31.94,-1.85,-0.48,-7.23,24.58,-5.2
194,-15.73,-1.85,-0.48,-7.23,24.58,-5.2
195,-15.73,18.26,24.9,13.99,18.75,-5.2
196,-15.73,18.26,24.9,13.99,18.75,79.94
197,-15.73,18.26,24.9,13.99,18.75,79.94
198,-16.46,-49.84,24.9,13.99,18.75,79.94
199,-16.46,-49.84,24.73,-15.7,18.75,79.94
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,-48.58,0,0,0,0,0
203,-48.58,-12.05,3.86,-1.48,0.79,0
204,-48.58,-12.05,3.86,-1.48,0.79,-0.37
205,-48.58,-12.05,3.86,-1.48,0.79,-0.37
206,-49.1,-12.05,3.86,-1.48,0.79,-0.37
207,-49.1,-12.2,4.89,-0.9,1.03,-0.37
208,-49.1,-12.2,4.89,-0.9,1.03,1.35
209,-49.1,-12.2,4.89,-0.9,1.03,1.35
210,-47.57,-12.2,4.89,-0.9,1.03,1.35
211,-47.57,-15.77,3.43,-0.9,1.03,1.35
212,-47.57,-15.77,3.43,0,3.63,-0.42
213,-47.57,-15.77,3.43,0,3.63,-0.42
214,-47.57,-15.77,3.43,0,3.63,-0.42
215,-11,-15.77,3.43,0,3.63,-0.42
216,-11,45.32,2.32,-14.45,33.65,-0.42
217,-11,45.32,2.32,-14.45,33.65,22.95
218,-11,45.32,2.32,-14.45,33.65,22.95
219,-11,45.32,2.32,-14.45,33.65,22.95
220,-8.04,-33.8,30.58,-27,33.65,22.95
221,-8.04,-33.8,30.58,-27,19.28,98.26
222,-8.04,-33.8,30.58,-27,19.28,98.26
223,-20.65,-33.8,30.58,-27,19.28,98.26
224,-20.65,-88.89,10.69,-38.52,19.28,98.26
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,-45.22,0,0,0,0,0
228,-45.22,-4.06,-1.25,0,0,0
229,-45.22,-4.06,-1.25,-2.98,17.58,4.33
230,-45.22,-4.06,-1.25,-2.98,17.58,4.33
231,-37.48,-4.06,-1.25,-2.98,17.58,4.33
232,-37.48,4.15,13.05,1.98,17.58,4.33
233,-37.48,4.15,13.05,1.98,27.41,12.62
234,-37.48,4.15,13.05,1.98,27.41,12.62
235,-37.48,4.15,13.05,1.98,27.41,12.62
236,5.18,47.45,46.31,1.98,27.41,12.62
237,5.18,47.45,46.31,9.63,9.47,67.02
238,5.18,47.45,46.31,9.63,9.47,67.02
239,-11.03,47.45,46.31,9.63,9.47,67.02
240,-11.03,-84.42,27.98,19.29,9.47,67.02
241,-11.03,-84.42,27.98,19.29,-26.79,96.18
242,-11.03,-84.42,27.98,19.29,-26.79,96.18
243,-11.03,-84.42,27.98,19.29,-26.79,96.18
244,-8.42,-99.99,27.98,19.29,-26.79,96.18
245,-8.42,-99.99,-38.03,3.13,12.31,96.18
246,-8.42,-99.99,-38.03,3.13,12.31,15.14
247,-8.42,-99.99,-38.03,3.13,12.31,15.14
248,11.55,-99.99,-38.03,3.13,12.31,15.14
249,11.55,-65.66,-9.8,-6.66,80.01,15.14
