,aX,aY,aZ,gX,gY,gZ
107,-43.52,-10.75,-17.5,-22.31,14.07,-6.72
108,-43.52,-10.75,-17.5,-23.62,13.68,1.98
109,-43.52,-10.75,-17.5,-23.62,13.68,1.98
110,-43.52,-10.75,-17.5,-23.62,13.68,1.98
111,-40.2,-10.75,-17.5,-23.62,13.68,1.98
112,-40.2,-8.06,-16.42,-19.55,13.31,1.98
113,-40.2,-8.06,-16.42,-19.55,13.31,1.64
114,-40.2,-8.06,-16.42,-19.55,13.31,1.64
115,-37.49,-8.06,-16.42,-19.55,13.31,1.64
116,-37.49,4.48,-5.53,-19.55,13.31,1.64
117,-37.49,4.48,-5.53,-30.67,19.85,11.16
118,-37.49,4.48,-5.53,-30.67,19.85,11.16
119,-37.49,4.48,-5.53,-30.67,19.85,11.16
120,-30.51,4.48,-5.53,-30.67,19.85,11.16
121,-30.51,-11.73,-1.49,-27.27,17.94,11.16
122,-30.51,-11.73,-1.49,-27.27,17.94,34.3
123,-30.51,-11.73,-1.49,-27.27,17.94,34.3
124,-31.87,-11.73,-1.49,-27.27,17.94,34.3
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,-44.11,0,0,0,0,0
128,-44.11,-13.54,-9.05,-11.15,-1.58,0
129,-44.11,-13.54,-9.05,-11.15,-1.58,12.08
130,-44.11,-13.54,-9.05,-11.15,-1.58,12.08
131,-45.64,-13.54,-9.05,-11.15,-1.58,12.08
132,-45.64,-19.54,-7.15,-11.15,-1.58,12.08
133,-45.64,-19.54,-7.15,-4.91,9.58,18.23
134,-45.64,-19.54,-7.15,-4.91,9.58,18.23
135,-45.64,-19.54,-7.15,-4.91,9.58,18.23
136,-35.2,-19.54,-7.15,-4.91,9.58,18.23
137,-35.2,-10.96,-2.83,-16.36,12.17,18.23
138,-35.2,-10.96,-2.83,-16.36,12.17,17.15
139,-35.2,-10.96,-2.83,-16.36,12.17,17.15
140,-29.4,-10.96,-2.83,-16.36,12.17,17.15
141,-29.4,-18.96,7.66,-19.77,18.87,17.15
142,-29.4,-18.96,7.66,-19.77,18.87,32.93
143,-29.4,-18.96,7.66,-19.77,18.87,32.93
144,-31.85,-18.96,7.66,-19.77,18.87,32.93
145,-31.85,-29.64,13.94,-18.48,18.55,32.93
146,-31.85,-29.64,13.94,-18.48,18.55,39.85
147,-31.85,-29.64,13.94,-18.48,18.55,39.85
148,-31.85,-29.64,13.94,-18.48,18.55,39.85
149,-18.19,-48.21,28.37,-18.48,18.55,39.85
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,-32.79,-18.21,0,0,0,0
153,-32.79,-18.21,2.79,-14.07,10.39,26.42
154,-32.79,-18.21,2.79,-14.07,10.39,26.42
155,-32.79,-18.21,2.79,-14.07,10.39,26.42
156,-28.54,-31.72,2.79,-14.07,10.39,26.42
157,-28.54,-31.72,12.61,-10.64,19.55,26.42
158,-28.54,-31.72,12.61,-10.64,19.55,31.96
159,-28.54,-31.72,12.61,-10.64,19.55,31.96
160,-28.54,-31.72,12.61,-10.64,19.55,31.96
161,-15.69,-39.08,38.68,-10.64,19.55,31.96
162,-15.69,-39.08,38.68,-19.35,24.34,28.75
163,-15.69,-39.08,38.68,-19.35,24.34,28.75
164,-15.69,-39.08,38.68,-19.35,24.34,28.75
165,-13.86,-36.63,38.79,-19.35,24.34,28.75
166,-13.86,-36.63,38.79,-20.61,12.21,33.38
167,-13.86,-36.63,38.79,-20.61,12.21,33.38
168,-13.86,-36.63,38.79,-20.61,12.21,33.38
169,-13.87,-36.63,38.79,-20.61,12.21,33.38
170,-13.87,-27.75,21.19,-19.45,30.58,33.38
171,-13.87,-27.75,21.19,-19.45,30.58,53.08
172,-13.87,-27.75,21.19,-19.45,30.58,53.08
173,-4.06,-27.75,21.19,-19.45,30.58,53.08
174,-4.06,-61.68,23.22,-35.18,30.58,53.08
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,-36.97,-19.27,0,0,0,0
179,-36.97,-19.27,-5.11,-14.64,13.71,6.87
180,-36.97,-19.27,-5.11,-14.64,13.71,6.87
181,-36.97,-19.27,-5.11,-14.64,13.71,6.87
182,-31.62,-13.14,0.63,-14.64,13.71,6.87
183,-31.62,-13.14,0.63,-25.38,17.34,9.57
184,-31.62,-13.14,0.63,-25.38,17.34,9.57
185,-31.62,-13.14,0.63,-25.38,17.34,9.57
186,-27.69,-12.2,12.25,-25.38,17.34,9.57
187,-27.69,-12.2,12.25,-41.08,30.13,29.6
188,-27.69,-12.2,12.25,-41.08,30.13,29.6
189,-27.69,-12.2,12.25,-41.08,30.13,29.6
190,-21.64,-12.2,12.25,-41.08,30.13,29.6
191,-21.64,-37.88,31.62,-7.12,33.8,29.6
192,-21.64,-37.88,31.62,-7.12,33.8,44.33
193,-21.64,-37.88,31.62,-7.12,33.8,44.33
194,-21.64,-37.88,31.62,-7.12,33.8,44.33
195,-14.08,-38.42,40.76,-7.12,33.8,44.33
196,-14.08,-38.42,40.76,-33.82,28.09,43.43
197,-14.08,-38.42,40.76,-33.82,28.09,43.43
198,-14.08,-38.42,40.76,-33.82,28.09,43.43
199,0.22,-68.8,33.63,-33.82,28.09,43.43
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,-43.33,0,0,0,0,0
203,-43.33,-12.01,-6.18,-11.93,0,0
204,-43.33,-12.01,-6.18,-11.93,15.36,12.37
205,-43.33,-12.01,-6.18,-11.93,15.36,12.37
206,-43.33,-12.01,-6.18,-11.93,15.36,12.37
207,-41.08,-9.76,-6.76,-11.93,15.36,12.37
208,-41.08,-9.76,-6.76,-20.77,12.58,15.91
209,-41.08,-9.76,-6.76,-20.77,12.58,15.91
210,-41.08,-9.76,-6.76,-20.77,12.58,15.91
211,-31.04,2.3,1.31,-20.77,12.58,15.91
212,-31.04,2.3,1.31,-28.12,26.39,37.8
213,-31.04,2.3,1.31,-28.12,26.39,37.8
214,-31.04,2.3,1.31,-28.12,26.39,37.8
215,-20.11,2.3,1.31,-28.12,26.39,37.8
216,-20.11,-8.11,12.91,-50.94,26.39,37.8
217,-20.11,-8.11,12.91,-50.94,30.85,26.65
218,-20.11,-8.11,12.91,-50.94,30.85,26.65
219,-18.01,-8.11,12.91,-50.94,30.85,26.65
220,-18.01,-8.11,12.91,-50.94,30.85,26.65
221,-18.01,-27.34,26.65,-24.55,34.93,48.38
222,-18.01,-27.34,26.65,-24.55,34.93,48.38
223,-18.01,-27.34,26.65,-24.55,34.93,48.38
224,-3.1,-27.34,26.65,-24.55,34.93,48.38
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,-40.38,-21.9,-2.65,0,0,0
228,-40.38,-21.9,-2.65,-8.37,6.59,2.88
229,-40.38,-21.9,-2.65,-8.37,6.59,2.88
230,-40.38,-21.9,-2.65,-8.37,6.59,2.88
231,-32.83,-21.9,-2.65,-8.37,6.59,2.88
232,-32.83,-13.21,-0.91,-17.7,19.95,2.88
233,-32.83,-13.21,-0.91,-17.7,19.95,16.12
234,-32.83,-13.21,-0.91,-17.7,19.95,16.12
235,-26.2,14.07,-0.91,-17.7,19.95,16.12
236,-26.2,14.07,-1.43,-35.42,29.05,39.87
237,-26.2,14.07,-1.43,-35.42,29.05,39.87
238,-26.2,14.07,-1.43,-35.42,29.05,39.87
239,-22.78,14.07,-1.43,-35.42,29.05,39.87
240,-22.78,-12.12,15.36,-52.32,29.05,39.87
241,-22.78,-12.12,15.36,-52.32,27.44,29.82
242,-22.78,-12.12,15.36,-52.32,27.44,29.82
243,-22.78,-12.12,15.36,-52.32,27.44,29.82
244,-19.03,-45.89,33.38,-52.32,27.44,29.82
245,-19.03,-45.89,33.38,-24.15,26.1,32.65
246,-19.03,-45.89,33.38,-24.15,26.1,32.65
247,-19.03,-45.89,33.38,-24.15,26.1,32.65
248,-11.87,-45.89,33.38,-24.15,26.1,32.65
249,-11.87,-52.97,50.8,6.49,26.1,32.65
